angry,disgust,fear,happy,sad,surprise,neutral,yalan_orani
0.0023296107538044453,2.34450862990343e-06,0.03129654377698898,0.007412236649543047,0.9333232641220093,4.405350409797393e-06,0.025631621479988098,0.0
0.0003706988785886611,5.693003234961616e-06,0.02709786084617843,0.614173994758845,0.33577524593171526,0.00012377687360305356,0.022452621838137884,0.0
6.678781937807798e-05,5.765617743236362e-07,0.010658692568540573,0.8527544140815735,0.13139943778514862,4.0119935874827206e-05,0.00508004380390048,0.0
0.0001563689968386812,3.834550854027043e-06,0.04603087803905475,0.6184322606582797,0.3244450583723222,3.834041355064741e-05,0.010893243082955067,0.0
2.6556889241997316e-05,8.997631433123799e-08,0.013897448984092595,0.7766877679004947,0.19465849463242357,2.4562420349461205e-05,0.014705035013850329,0.0
9.50391186052002e-05,3.252815474752424e-07,0.03845779597759247,0.5019102096557617,0.4361583888530731,4.211588020552881e-05,0.023336108773946762,0.0
0.0001111782324061793,1.2867797834864177e-06,0.048673923234577365,0.4473581282709913,0.5000636279620903,1.5577691575253627e-05,0.0037763379436783757,0.0
0.00014597477274946868,1.8096116036758758e-06,0.06284447014331818,0.28752046823501587,0.6423090100288391,1.842441088228952e-05,0.00715985894203186,0.0
0.00015316678036469966,2.2166659618960693e-06,0.02191021665930748,0.424072802066803,0.53970867395401,3.427758201723918e-05,0.014118604362010956,0.0
9.25893965067541e-05,1.122852789728568e-06,0.02041869173459361,0.46883177571486084,0.4991985558985803,3.6208557842623165e-05,0.011421073908869856,0.0
3.132025813101791e-05,3.086180413447437e-07,0.01476995274424553,0.7339013814926147,0.24213281273841858,1.0734454917837866e-05,0.009153509512543678,0.0
0.0001282276352867484,2.954208184746676e-06,0.024232231080532074,0.6359763741493225,0.3258292078971863,5.051544576417655e-05,0.013780487701296806,0.0
0.00021090264304490916,4.4282827908101515e-06,0.033559247576088,0.3979691090620626,0.5541119510994016,3.849048785466473e-05,0.014105812827549835,0.0
6.078513979446143e-05,6.609664637835522e-07,0.033553335815668106,0.35701870918273926,0.6003111004829407,1.5796318621141836e-05,0.009039598517119884,0.0
3.429757271078415e-05,4.029434421681799e-07,0.007815279997885227,0.7888055443763733,0.18544717133045197,2.363887870160397e-05,0.017873650416731834,0.0
0.23731546028348569,0.002092568794194984,0.08983085094874209,2.2114842476474513e-06,0.6666229168547939,2.581786629161769e-06,0.0041334594269668715,1.0
0.2504841387271881,0.0034390592481940985,0.45722338557243347,4.892619472229853e-05,0.26727473735809326,2.6843677915167063e-05,0.021502899006009102,1.0
0.23642434179782867,0.004562030546367168,0.5179797410964966,6.56797710689716e-05,0.2299896478652954,2.348710950172972e-05,0.010955116711556911,1.0
0.21673718094825745,0.001292480737902224,0.1781257688999176,1.5311992683564313e-05,0.5812656879425049,1.4459795238508377e-05,0.022549115121364594,1.0
